"Employee #","Last Name","First Name","Birthday","Address","Phone Number","SSS #","Philhealth #","TIN #","Pag-ibig #","Status","Position","Immediate Supervisor","Basic Salary","Rice Subsidy","Phone Allowance","Clothing Allowance","Gross Semi-monthly Rate","Hourly Rate"
"10006","Catherine","Rosie ","09/24/1948","90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte","266-036-427","41-0644692-3","708988234853","604-997-793-000","260107732354","Regular","HR Rank and File","San Jose, Brad","22,500","1,500","500","500","11,250","133.93"
"10007","Ian","Martha","01/11/1942","42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte ","329-034-366","45-5656375-0","233693897247","210-835-851-000","631130283546","Regular","Payroll Rank and File","Farala, Martha","24,000","1,500","500","500","12,000","142.86"
"10008","Martinez","Leila","07/11/1970","37/46 Kulas Roads, Maragondon 0962 Quirino ","877-110-749","27-2090996-4","515741057496","275-792-513-000","101205445886","Regular","Payroll Rank and File","Farala, Martha","24,000","1,500","500","500","12,000","142.86"
"10009","San Jose","Allison ","06/24/1986","08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union","179-075-129","45-3251383-0","745148459521","121-203-336-000","114901859343","Regular","Account Rank and File","Mata, Christian","22,500","1,500","500","500","11,250","133.93"
"10011","Lopez","Josie ","01/14/1937","49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro","478-355-427","44-8563448-3","431709011012","218-489-737-000","113071293354","Regular","Payroll Team Leader","Salcedo, Anthony","38,475","1,500","800","800","19,238","229.02"
"10012","De Leon","Selena ","02/20/1945","89A Armstrong Trace, Compostela 7874 Maguindanao","975-432-139","27-2090208-8","587272469938","482-259-498-000","719007608464","Regular","Account Team Leader","Romualdez, Fredrick","41,850","1,500","800","800","20,925","249.11"
"10013","Romualdez","Fredrick ","03/10/1985","22A/52 Lubowitz Meadows, Pililla 4895 Zambales","023-079-009","26-8768374-1","308366860059","598-065-761-000","223057707853","Regular","Account Manager","Crisostomo, Jose","63,500","1,500","1,000","1,000","31,750","377.98"
"10015","Lazaro","Darlene ","11/25/1985","47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino","740-721-558","45-5617168-2","606386917510","354-650-951-000","104907708845","Probationary","Account Rank and File","Mata, Christian","23,250","0","0","0","11,625","138.39"
"10016","Delos Santos","Kolby ","02/26/1980","06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur","739-443-033","52-0109570-6","357451271274","187-500-345-000","113017988667","Probationary","Account Rank and File","Mata, Christian","24,000","0","0","0","12,000","142.86"
"10017","Santos","Vella ","12/31/1983","99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur","955-879-269","52-9883524-3","548670482885","101-558-994-000","360028104576","Probationary","Account Rank and File","Mata, Christian","22,500","0","0","0","11,250","133.93"
"10018","Del Rosario","Tomas","12/18/1978","80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque","882-550-989","45-5866331-6","953901539995","560-735-732-000","913108649964","Probationary","Account Rank and File","Mata, Christian","22,500","0","0","0","11,250","133.93"
"10019","Tolentino","Jacklyn ","05/19/1944","96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao","675-757-366","47-1692793-0","753800654114","841-177-857-000","210546661243","Probationary","Account Rank and File","De Leon, Selena","24,000","0","0","0","12,000","142.86"
"10020","Gutierrez","Percival ","12/18/1970","58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur","512-899-876","40-9504657-8","797639382265","502-995-671-000","210897095686","Probationary","Account Rank and File","De Leon, Selena","24,750","0","0","0","12,375","147.32"
"10021","Manalaysay","Garfield ","08/28/1966","60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur","948-628-136","45-3298166-4","810909286264","336-676-445-000","211274476563","Probationary","Account Rank and File","De Leon, Selena","24,750","0","0","0","12,375","147.32"
"10022","Villegas","Lizeth ","12/12/1981","66/77 Mann Views, Luisiana 1263 Dinagat Islands","332-372-215","40-2400719-4","934389652994","210-395-397-000","122238077997","Probationary","Account Rank and File","De Leon, Selena","24,000","0","0","0","12,000","142.86"
"10023","Ramos","Carol ","08/20/1978","72/70 Stamm Spurs, Bustos 4550 Iloilo","250-700-389","60-1152206-4","351830469744","395-032-717-000","212141893454","Probationary","Account Rank and File","De Leon, Selena","22,500","0","0","0","11,250","133.93"
"10024","Maceda","Emelia ","04/14/1963","50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija","973-358-041","54-1331005-0","465087894112","215-973-013-000","515012579765","Probationary","Account Rank and File","De Leon, Selena","22,500","0","0","0","11,250","133.93"
"10025","Aguilar","Delia ","01/27/1939","95 Cremin Junction, Surallah 2809 Cotabato","529-705-439","52-1859253-1","136451303068","599-312-588-000","110018813465","Probationary","Account Rank and File","De Leon, Selena","22,500","0","0","0","11,250","133.93"
